"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"aberrant spore morphology","aberrant spore morphology","""aberrant spore morphology""","9","1","11.11","0.0719894716011027","0.526076907854212","8623058"
"abolished protein localization to nucleus","abolished protein localization to nucleus","""abolished protein localization to nucleus""","9","1","11.11","0.0719894716011027","0.526076907854212","8628077"
"decreased lateral pseudopodium retraction","decreased lateral pseudopodium retraction","""decreased lateral pseudopodium retraction""","9","1","11.11","0.0719894716011027","0.526076907854212","8619403"
"increased activation of GTPase activity","increased activation of GTPase activity","""increased activation of GTPase activity""","9","1","11.11","0.0719894716011027","0.526076907854212","8628077"
"aberrant cytoskeleton organization","aberrant cytoskeleton organization","""aberrant cytoskeleton organization""","10","1","10","0.0796672054043108","0.551861370769445","8617398"
"aberrant regulation of GTPase activity","aberrant regulation of GTPase activity","""aberrant regulation of GTPase activity""","10","1","10","0.0796672054043108","0.551861370769445","8627162"
"aberrant stalk morphogenesis","aberrant stalk morphogenesis","""aberrant stalk morphogenesis""","10","1","10","0.0796672054043108","0.551861370769445","8627162"
"decreased culmination","decreased culmination","""decreased culmination""","10","1","10","0.0796672054043108","0.551861370769445","8626981"
"increased protein level","increased protein level","""increased protein level""","10","1","10","0.0796672054043108","0.551861370769445","8626981"
"aberrant slug migration","aberrant slug migration","""aberrant slug migration""","58","2","3.45","0.0826120429431577","0.566360912960823","8620980,8624008"
"aberrant defense response to bacterium","aberrant defense response to bacterium","""aberrant defense response to bacterium""","11","1","9.09","0.0872825855618602","0.574682370283535","8620966"
"aberrant slug development","aberrant slug development","""aberrant slug development""","11","1","9.09","0.0872825855618602","0.574682370283535","8625569"
"decreased slug migration","decreased slug migration","""decreased slug migration""","11","1","9.09","0.0872825855618602","0.574682370283535","8623058"
"increased prestalk cell differentiation","increased prestalk cell differentiation","""increased prestalk cell differentiation""","11","1","9.09","0.0872825855618602","0.574682370283535","8620128"
"aberrant cellular metabolic process","aberrant cellular metabolic process","""aberrant cellular metabolic process""","12","1","8.33","0.0948361089916933","0.600628690280724","8628181"
"aberrant cellular response to stress","aberrant cellular response to stress","""aberrant cellular response to stress""","12","1","8.33","0.0948361089916933","0.600628690280724","8627162"
"decreased exocytosis","decreased exocytosis","""decreased exocytosis""","12","1","8.33","0.0948361089916933","0.600628690280724","8621982"
"decreased response to Gram-negative bacterium","decreased response to Gram-negative bacterium","""decreased response to Gram-negative bacterium""","12","1","8.33","0.0948361089916933","0.600628690280724","8617276"
"decreased chemotaxis to cAMP","decreased chemotaxis to cAMP","""decreased chemotaxis to cAMP""","66","2","3.03","0.102886247954568","0.621994135361706","8617398,8625569"
"decreased spore cell differentiation","decreased spore cell differentiation","""decreased spore cell differentiation""","13","1","7.69","0.1023282687272","0.621994135361706","8622433"
"delayed development of tipped mound","delayed development of tipped mound","""delayed development of tipped mound""","13","1","7.69","0.1023282687272","0.621994135361706","8625513"
"increased bleb assembly","increased bleb assembly","""increased bleb assembly""","13","1","7.69","0.1023282687272","0.621994135361706","8627162"
"increased cell-cell adhesion","increased cell-cell adhesion","""increased cell-cell adhesion""","13","1","7.69","0.1023282687272","0.621994135361706","8628076"
"aberrant extracellular cAMP signaling pathway","aberrant extracellular cAMP signaling pathway","""aberrant extracellular cAMP signaling pathway""","14","1","7.14","0.109759553946997","0.640264064690814","8628181"
"abolished positive regulation of chemorepellant activity","abolished positive regulation of chemorepellant activity","""abolished positive regulation of chemorepellant activity""","14","1","7.14","0.109759553946997","0.640264064690814","8625569"
"decreased cAMP level","decreased cAMP level","""decreased cAMP level""","14","1","7.14","0.109759553946997","0.640264064690814","8620128"
"increased protein kinase activation","increased protein kinase activation","""increased protein kinase activation""","14","1","7.14","0.109759553946997","0.640264064690814","8628077"
"decreased phagocytosis","decreased phagocytosis","""decreased phagocytosis""","71","2","2.82","0.116185633900114","0.671480597008404","8621982,8628077"
"decreased phototaxis","decreased phototaxis","""decreased phototaxis""","15","1","6.67","0.117130450004474","0.671480597008404","8620128"
"aberrant hypotonic response","aberrant hypotonic response","""aberrant hypotonic response""","16","1","6.25","0.124441438457127","0.701301326898218","8628615"
"decreased cell-cell adhesion","decreased cell-cell adhesion","""decreased cell-cell adhesion""","16","1","6.25","0.124441438457127","0.701301326898218","8620128"
"decreased prespore gene expression","decreased prespore gene expression","""decreased prespore gene expression""","17","1","5.88","0.131692997095673","0.72979869223852","8628444"
"increased vegetative cell size","increased vegetative cell size","""increased vegetative cell size""","17","1","5.88","0.131692997095673","0.72979869223852","8625513"
"decreased protein kinase activation","decreased protein kinase activation","""decreased protein kinase activation""","20","1","5","0.153095816137215","0.84139436141527","8628077"
"decreased protein level","decreased protein level","""decreased protein level""","24","1","4.17","0.180829229413432","0.985667520983052","8628181"
"aberrant DNA repair","aberrant DNA repair","""aberrant DNA repair""","1","0","0","1","1",""
"aberrant G protein-coupled receptor signaling","aberrant G protein-coupled receptor signaling","""aberrant G protein-coupled receptor signaling""","1","0","0","1","1",""
"aberrant GABA signaling pathway","aberrant GABA signaling pathway","""aberrant GABA signaling pathway""","3","0","0","1","1",""
"aberrant Golgi localization","aberrant Golgi localization","""aberrant Golgi localization""","3","0","0","1","1",""
"aberrant actin cytoskeleton organization","aberrant actin cytoskeleton organization","""aberrant actin cytoskeleton organization""","6","0","0","1","1",""
"aberrant actin filament organization","aberrant actin filament organization","""aberrant actin filament organization""","39","1","2.56","0.277112794227177","1","8628077"
"aberrant actin filament polymerization","aberrant actin filament polymerization","""aberrant actin filament polymerization""","9","0","0","1","1",""
"aberrant activation of GTPase activity","aberrant activation of GTPase activity","""aberrant activation of GTPase activity""","6","0","0","1","1",""
"aberrant adaptation of signaling pathway","aberrant adaptation of signaling pathway","""aberrant adaptation of signaling pathway""","4","0","0","1","1",""
"aberrant aggregation","aberrant aggregation","""aberrant aggregation""","62","1","1.61","0.403569900436818","1","8620128"
"aberrant autophagic cell death","aberrant autophagic cell death","""aberrant autophagic cell death""","3","0","0","1","1",""
"aberrant autophagy","aberrant autophagy","""aberrant autophagy""","3","0","0","1","1",""
"aberrant binding","aberrant binding","""aberrant binding""","3","0","0","1","1",""
"aberrant bleb assembly","aberrant bleb assembly","""aberrant bleb assembly""","1","0","0","1","1",""
"aberrant calcium-mediated signaling","aberrant calcium-mediated signaling","""aberrant calcium-mediated signaling""","10","0","0","1","1",""
"aberrant catalytic activity","aberrant catalytic activity","""aberrant catalytic activity""","1","0","0","1","1",""
"aberrant cell adhesion","aberrant cell adhesion","""aberrant cell adhesion""","1","0","0","1","1",""
"aberrant cell cycle","aberrant cell cycle","""aberrant cell cycle""","5","0","0","1","1",""
"aberrant cell differentiation","aberrant cell differentiation","""aberrant cell differentiation""","2","0","0","1","1",""
"aberrant cell migration to prestalk region","aberrant cell migration to prestalk region","""aberrant cell migration to prestalk region""","3","0","0","1","1",""
"aberrant cell motility","aberrant cell motility","""aberrant cell motility""","8","0","0","1","1",""
"aberrant cell separation during cytokinesis","aberrant cell separation during cytokinesis","""aberrant cell separation during cytokinesis""","15","0","0","1","1",""
"aberrant cellular component organization","aberrant cellular component organization","""aberrant cellular component organization""","2","0","0","1","1",""
"aberrant cellular homeostasis","aberrant cellular homeostasis","""aberrant cellular homeostasis""","11","0","0","1","1",""
"aberrant cellular localization","aberrant cellular localization","""aberrant cellular localization""","0","0","NaN","1","1",""
