"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"GO:0004677","GO:0004677","""DNA-dependent protein kinase activity""","1","0","0","1","1",""
"GO:0003899","GO:0003899","""DNA-directed 5'-3' RNA polymerase activity""","7","0","0","1","1",""
"GO:0003887","GO:0003887","""DNA-directed DNA polymerase activity""","4","0","0","1","1",""
"GO:0009008","GO:0009008","""DNA-methyltransferase activity""","1","0","0","1","1",""
"GO:0033677","GO:0033677","""DNA/RNA helicase activity""","1","0","0","1","1",""
"GO:0046923","GO:0046923","""ER retention sequence binding""","1","0","0","1","1",""
"GO:1990444","GO:1990444","""F-box domain binding""","2","0","0","1","1",""
"GO:0071949","GO:0071949","""FAD binding""","10","1","10","0.204831265359967","1","8620371"
"GO:0010181","GO:0010181","""FMN binding""","6","0","0","1","1",""
"GO:0003925","GO:0003925","""G protein activity""","18","0","0","1","1",""
"GO:0004965","GO:0004965","""G protein-coupled GABA receptor activity""","2","0","0","1","1",""
"GO:0001637","GO:0001637","""G protein-coupled chemoattractant receptor activity""","1","0","0","1","1",""
"GO:0008528","GO:0008528","""G protein-coupled peptide receptor activity""","1","0","0","1","1",""
"GO:0045028","GO:0045028","""G protein-coupled purinergic nucleotide receptor activity""","7","1","14.29","0.148199879477653","1","8626513"
"GO:0004930","GO:0004930","""G protein-coupled receptor activity""","29","1","3.45","0.486067374426267","1","8626513"
"GO:0001664","GO:0001664","""G protein-coupled receptor binding""","1","0","0","1","1",""
"GO:0001965","GO:0001965","""G-protein alpha-subunit binding""","2","0","0","1","1",""
"GO:0031681","GO:0031681","""G-protein beta-subunit binding""","3","0","0","1","1",""
"GO:0031683","GO:0031683","""G-protein beta/gamma-subunit complex binding""","14","1","7.14","0.274562822576039","1","8625513"
"GO:0031682","GO:0031682","""G-protein gamma-subunit binding""","1","0","0","1","1",""
"GO:0016917","GO:0016917","""GABA receptor activity""","3","0","0","1","1",""
"GO:0004378","GO:0004378","""GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity""","1","0","0","1","1",""
"GO:0102704","GO:0102704","""GDP-Man:Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase activity""","1","0","0","1","1",""
"GO:0004377","GO:0004377","""GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity""","1","0","0","1","1",""
"GO:0005092","GO:0005092","""GDP-dissociation inhibitor activity""","2","0","0","1","1",""
"GO:0008446","GO:0008446","""GDP-mannose 4,6-dehydratase activity""","1","0","0","1","1",""
"GO:0003922","GO:0003922","""GMP synthase (glutamine-hydrolyzing) activity""","1","0","0","1","1",""
"GO:0003921","GO:0003921","""GMP synthase activity""","1","0","0","1","1",""
"GO:0061798","GO:0061798","""GTP 3',8'-cyclase activity""","1","0","0","1","1",""
"GO:0005525","GO:0005525","""GTP binding""","184","5","2.72","0.404407844599469","1","8617301,8621425,8623713,8625513,8629399"
"GO:0003934","GO:0003934","""GTP cyclohydrolase I activity""","1","0","0","1","1",""
"GO:0003933","GO:0003933","""GTP cyclohydrolase activity""","1","0","0","1","1",""
"GO:0032794","GO:0032794","""GTPase activating protein binding""","2","0","0","1","1",""
"GO:0005096","GO:0005096","""GTPase activator activity""","60","0","0","1","1",""
"GO:0003924","GO:0003924","""GTPase activity""","160","5","3.12","0.29615070227925","1","8617301,8621425,8623713,8625513,8629399"
"GO:0051020","GO:0051020","""GTPase binding""","44","2","4.55","0.262824098091384","1","8615885,8623482"
"GO:0005095","GO:0005095","""GTPase inhibitor activity""","1","0","0","1","1",""
"GO:0030695","GO:0030695","""GTPase regulator activity""","106","0","0","1","1",""
"GO:0030544","GO:0030544","""Hsp70 protein binding""","2","0","0","1","1",""
"GO:0051879","GO:0051879","""Hsp90 protein binding""","3","0","0","1","1",""
"GO:0003937","GO:0003937","""IMP cyclohydrolase activity""","1","0","0","1","1",""
"GO:0036220","GO:0036220","""ITP diphosphatase activity""","1","0","0","1","1",""
"GO:0001716","GO:0001716","""L-amino-acid oxidase activity""","1","0","0","1","1",""
"GO:0031418","GO:0031418","""L-ascorbic acid binding""","2","0","0","1","1",""
"GO:0004069","GO:0004069","""L-aspartate:2-oxoglutarate aminotransferase activity""","2","0","0","1","1",""
"GO:0080146","GO:0080146","""L-cysteine desulfhydrase activity""","1","0","0","1","1",""
