"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"GO:0052646","GO:0052646","""alditol phosphate metabolic process""","1","1","100","0.032282741738066","0.298077315381476","8624347"
"GO:0015810","GO:0015810","""aspartate transmembrane transport""","1","1","100","0.032282741738066","0.298077315381476","8623999"
"GO:0010815","GO:0010815","""bradykinin catabolic process""","1","1","100","0.032282741738066","0.298077315381476","8627683"
"GO:1905039","GO:1905039","""carboxylic acid transmembrane transport""","9","2","22.22","0.032154441634513","0.298077315381476","8623999,8628187"
"GO:0044270","GO:0044270","""cellular nitrogen compound catabolic process""","36","4","11.11","0.0277259591394839","0.298077315381476","8623776,8623972,8624472,8625614"
"GO:0099638","GO:0099638","""endosome to plasma membrane protein transport""","1","1","100","0.032282741738066","0.298077315381476","8616852"
"GO:0006002","GO:0006002","""fructose 6-phosphate metabolic process""","1","1","100","0.032282741738066","0.298077315381476","8619591"
"GO:0019563","GO:0019563","""glycerol catabolic process""","1","1","100","0.032282741738066","0.298077315381476","8624347"
"GO:0006072","GO:0006072","""glycerol-3-phosphate metabolic process""","1","1","100","0.032282741738066","0.298077315381476","8624347"
"GO:0050667","GO:0050667","""homocysteine metabolic process""","1","1","100","0.032282741738066","0.298077315381476","8616970"
"GO:0009092","GO:0009092","""homoserine metabolic process""","1","1","100","0.032282741738066","0.298077315381476","8616970"
"GO:0048250","GO:0048250","""iron import into the mitochondrion""","1","1","100","0.032282741738066","0.298077315381476","8616939"
"GO:0006089","GO:0006089","""lactate metabolic process""","1","1","100","0.032282741738066","0.298077315381476","8628191"
"GO:0006869","GO:0006869","""lipid transport""","37","4","10.81","0.0303254066173582","0.298077315381476","8624973,8625784,8626825,8627682"
"GO:0061724","GO:0061724","""lipophagy""","1","1","100","0.032282741738066","0.298077315381476","8616852"
"GO:0019243","GO:0019243","""methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione""","1","1","100","0.032282741738066","0.298077315381476","8628191"
"GO:0061727","GO:0061727","""methylglyoxal catabolic process to lactate""","1","1","100","0.032282741738066","0.298077315381476","8628191"
"GO:0051596","GO:0051596","""methylglyoxal catabolic process""","1","1","100","0.032282741738066","0.298077315381476","8628191"
"GO:0009438","GO:0009438","""methylglyoxal metabolic process""","1","1","100","0.032282741738066","0.298077315381476","8628191"
"GO:0031930","GO:0031930","""mitochondria-nucleus signaling pathway""","1","1","100","0.032282741738066","0.298077315381476","8626796"
"GO:0000002","GO:0000002","""mitochondrial genome maintenance""","1","1","100","0.032282741738066","0.298077315381476","8621067"
"GO:0034982","GO:0034982","""mitochondrial protein processing""","1","1","100","0.032282741738066","0.298077315381476","8626796"
"GO:0031111","GO:0031111","""negative regulation of microtubule polymerization or depolymerization""","1","1","100","0.032282741738066","0.298077315381476","8619591"
"GO:0031115","GO:0031115","""negative regulation of microtubule polymerization""","1","1","100","0.032282741738066","0.298077315381476","8619591"
"GO:0031273","GO:0031273","""negative regulation of pseudopodium assembly""","1","1","100","0.032282741738066","0.298077315381476","8615885"
"GO:1903825","GO:1903825","""organic acid transmembrane transport""","9","2","22.22","0.032154441634513","0.298077315381476","8623999,8628187"
"GO:0006907","GO:0006907","""pinocytosis""","55","5","9.09","0.0314870847362432","0.298077315381476","8616267,8616852,8621459,8623694,8624973"
"GO:1904263","GO:1904263","""positive regulation of TORC1 signaling""","1","1","100","0.032282741738066","0.298077315381476","8628472"
"GO:0090141","GO:0090141","""positive regulation of mitochondrial fission""","1","1","100","0.032282741738066","0.298077315381476","8623694"
