ddb_g,AX4L846F_avr_00h,AX4L846F_avr_04h,AX4L846F_avr_08h,AX4L846F_avr_12h,AX4L846F_avr_16h,AX4L846F_avr_20h,B1.L846F_avr_00h,B1.L846F_avr_04h,B1.L846F_avr_08h,B1.L846F_avr_12h,B1.L846F_avr_16h,B1.L846F_avr_20h,
DDB_G0287343,6.429198638,5.177742194,4.263930041,3.486009699,1.949741989,1.569204223,8.272657392,3.875536971,4.498093372,2.759351428,2.191773009,1.56917961,
DDB_G0287345,5.624793648,2.809620719,3.154151384,1.874624454,1.756913891,1.283674556,5.615446716,3.768178725,2.782371382,2.802908969,1.939200295,0.926234072,
DDB_G0287347,1.706094348,1.284371904,1.849892675,1.473339375,0.781942539,0.626439955,2.078553058,1.208635313,1.841320058,1.655832532,1.041408337,0.715436114,
DDB_G0287351,12.32523411,7.953073869,3.356849416,3.272312993,2.478027887,2.739952898,12.18190239,10.99272702,5.535209907,7.224913961,3.025335848,2.889410746,
DDB_G0287353,9.369235646,8.07039251,12.69264115,15.98923847,12.62162871,10.68995356,11.04974837,7.096713621,10.30716305,10.22926695,12.27263929,10.03009238,
DDB_G0287355,0.318526346,0.887412821,0.983756946,1.679154596,1.509234875,1.266859376,0.283704343,0.663792268,2.932939772,2.072700517,1.071273325,1.240942904,
DDB_G0287357,2.01077167,0.976060401,0.998967793,0.643045821,0.253201551,0.478176815,2.185126846,2.831017039,1.985260613,1.486510287,1.176165586,0.570420652,
DDB_G0287359,9.799462786,25.82097695,29.74577065,58.7403777,41.4496169,36.41806666,13.40773954,35.39411851,43.21676604,42.29868879,54.54209773,43.67686086,
DDB_G0287361,28.81224389,14.71589846,10.86682215,15.74481217,17.77304348,17.71353583,31.8775494,19.50315695,12.4672405,10.98102986,16.09694652,16.84455829,
DDB_G0287363,28.43205155,38.50152585,22.60801384,13.88871994,9.519820216,8.566396239,15.38587977,30.42840777,34.37792143,22.18916783,10.38426289,10.35210207,
DDB_G0287365,0.517508223,1.787927208,0.590958719,2.29893671,3.203486983,7.052514453,0.37186936,1.2812175,0.497273515,0.503485393,2.544238959,6.168469705,
DDB_G0287367,10.35557978,15.73510991,3.495676776,1.940014047,1.404855877,2.526891103,9.185117141,13.12473793,6.762527526,3.019187574,1.874022793,3.257617808,
DDB_G0287369,2.673734552,4.755606993,1.086444164,0.224756576,0.235033561,0.09865699,3.685565091,3.127812489,2.107221082,0.994137057,0.586166149,0.540821,
DDB_G0287371,73.21628648,92.91526938,29.84811007,12.10798155,11.19881546,8.659698647,96.44824809,65.34819317,38.8308223,24.23574582,13.05347407,8.626276174,
DDB_G0287373,1.290360923,2.15030344,1.516328027,2.65540518,2.247473933,1.695236439,1.581019728,1.705148129,1.78235224,2.13346793,2.620102645,2.609720498,
DDB_G0287375,1.424182427,2.530738795,4.757936622,3.802927801,3.515906541,3.346886457,1.672570427,1.934136373,3.140003804,3.860150045,4.011954817,3.757712092,
DDB_G0287377,107.1321852,99.20914969,80.82113551,69.96711577,63.02289601,72.80196124,80.3275931,103.452532,83.96239359,99.2085384,87.222869,90.79841294,
DDB_G0287379,27.08394769,51.49126301,74.34944425,83.77157736,90.50721137,102.8940605,26.42314117,40.92055476,54.96620929,79.37190358,73.90211441,94.40185676,
DDB_G0287381,0,0.01809077,0.027655308,0.14512143,0.185685612,0.275812101,0.021202104,0,0.027460714,0,0.05544738,0.268474587,
DDB_G0287383,6.683695319,2.028024925,1.305499937,1.170634326,0.837554026,0.866740352,5.355976249,2.502235304,1.11044147,1.185002859,1.512329238,0.928997064,
DDB_G0287385,8.12459839,8.059846957,3.365678582,2.322993388,1.713105396,1.116331394,11.90820113,13.75358885,5.108907562,3.4825646,5.81974135,2.880110232,
DDB_G0287387,1.319701141,1.20833797,1.295724692,1.735085982,0.791073316,1.178485232,3.583102505,4.013063417,11.5192465,5.875064608,4.967106294,7.001217825,
DDB_G0287389,0.268232183,0.180075599,0.116181262,0.155089677,0.501791352,3.294179562,0.599728629,0.653933985,0.755579873,0.427978808,0.55685737,2.653112912,
DDB_G0287391,161.2305888,183.4835355,142.8001116,60.62610899,52.7251364,46.13512264,100.480669,143.6752469,140.1923249,107.6356371,66.99953096,57.72199217,
DDB_G0287393,9.178279223,9.283384107,10.35516168,7.026513622,7.13067974,6.398979034,9.209336376,8.012413013,9.91081905,9.336902338,7.0349034,5.919410072,
DDB_G0287395,2.020314832,2.669944205,3.63621656,7.193012259,5.094864279,6.223398215,1.970798914,2.144486893,3.621677389,4.517184336,5.144089281,4.71011193,
