"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"abolished positive regulation of chemorepellant activity","abolished positive regulation of chemorepellant activity","""abolished positive regulation of chemorepellant activity""","14","1","7.14","0.0903181942609261","0.715019037898999","8621626"
"aberrant cell separation during cytokinesis","aberrant cell separation during cytokinesis","""aberrant cell separation during cytokinesis""","15","1","6.67","0.096455268694002","0.74584597304083","8620939"
"abolished catalytic activity","abolished catalytic activity","""abolished catalytic activity""","15","1","6.67","0.096455268694002","0.74584597304083","8628576"
"decreased sporulation","decreased sporulation","""decreased sporulation""","79","2","2.53","0.0985959330095753","0.753635579900777","8616333,8627189"
"aberrant hypotonic response","aberrant hypotonic response","""aberrant hypotonic response""","16","1","6.25","0.102551874763234","0.757744407972786","8627033"
"decreased cell-cell adhesion","decreased cell-cell adhesion","""decreased cell-cell adhesion""","16","1","6.25","0.102551874763234","0.757744407972786","8626211"
"decreased prestalk gene expression","decreased prestalk gene expression","""decreased prestalk gene expression""","16","1","6.25","0.102551874763234","0.757744407972786","8624038"
"decreased vegetative cell size","decreased vegetative cell size","""decreased vegetative cell size""","17","1","5.88","0.108608273154402","0.785048930953018","8623694"
"increased vegetative cell size","increased vegetative cell size","""increased vegetative cell size""","17","1","5.88","0.108608273154402","0.785048930953018","8628686"
"decreased catalytic activity","decreased catalytic activity","""decreased catalytic activity""","18","1","5.56","0.114624722913753","0.802373060396273","8617511"
"decreased gene expression","decreased gene expression","""decreased gene expression""","86","2","2.33","0.113624523309467","0.802373060396273","8622682,8627189"
"increased cell motility","increased cell motility","""increased cell motility""","18","1","5.56","0.114624722913753","0.802373060396273","8626211"
"increased number of mound tips","increased number of mound tips","""increased number of mound tips""","20","1","5","0.126538804584629","0.867508299471938","8617398"
"precocious aggregation","precocious aggregation","""precocious aggregation""","20","1","5","0.126538804584629","0.867508299471938","8626305"
"development arrests at loose mound stage","development arrests at loose mound stage","""development arrests at loose mound stage""","21","1","4.76","0.132436946481233","0.898679279694084","8622682"
"decreased defense response to Gram-negative bacterium","decreased defense response to Gram-negative bacterium","""decreased defense response to Gram-negative bacterium""","23","1","4.35","0.144116695347243","0.958376024059167","8620846"
"decreased macropinocytosis","decreased macropinocytosis","""decreased macropinocytosis""","23","1","4.35","0.144116695347243","0.958376024059167","8629023"
"aberrant fruiting body morphogenesis","aberrant fruiting body morphogenesis","""aberrant fruiting body morphogenesis""","101","2","1.98","0.147591942019932","0.971768727160935","8624038,8627189"
"aberrant DNA repair","aberrant DNA repair","""aberrant DNA repair""","1","0","0","1","1",""
"aberrant G protein-coupled receptor signaling","aberrant G protein-coupled receptor signaling","""aberrant G protein-coupled receptor signaling""","1","0","0","1","1",""
"aberrant GABA signaling pathway","aberrant GABA signaling pathway","""aberrant GABA signaling pathway""","3","0","0","1","1",""
"aberrant Golgi localization","aberrant Golgi localization","""aberrant Golgi localization""","3","0","0","1","1",""
"aberrant actin cytoskeleton organization","aberrant actin cytoskeleton organization","""aberrant actin cytoskeleton organization""","6","0","0","1","1",""
"aberrant actin filament polymerization","aberrant actin filament polymerization","""aberrant actin filament polymerization""","9","0","0","1","1",""
"aberrant activation of GTPase activity","aberrant activation of GTPase activity","""aberrant activation of GTPase activity""","6","0","0","1","1",""
"aberrant activation of adenylate cyclase activity","aberrant activation of adenylate cyclase activity","""aberrant activation of adenylate cyclase activity""","7","0","0","1","1",""
"aberrant adaptation of signaling pathway","aberrant adaptation of signaling pathway","""aberrant adaptation of signaling pathway""","4","0","0","1","1",""
"aberrant autophagic cell death","aberrant autophagic cell death","""aberrant autophagic cell death""","3","0","0","1","1",""
"aberrant autophagy","aberrant autophagy","""aberrant autophagy""","3","0","0","1","1",""
"aberrant binding","aberrant binding","""aberrant binding""","3","0","0","1","1",""
"aberrant bleb assembly","aberrant bleb assembly","""aberrant bleb assembly""","1","0","0","1","1",""
"aberrant calcium-mediated signaling","aberrant calcium-mediated signaling","""aberrant calcium-mediated signaling""","10","0","0","1","1",""
"aberrant catalytic activity","aberrant catalytic activity","""aberrant catalytic activity""","1","0","0","1","1",""
"aberrant cell adhesion","aberrant cell adhesion","""aberrant cell adhesion""","1","0","0","1","1",""
"aberrant cell cycle","aberrant cell cycle","""aberrant cell cycle""","5","0","0","1","1",""
"aberrant cell differentiation","aberrant cell differentiation","""aberrant cell differentiation""","2","0","0","1","1",""
"aberrant cell morphology","aberrant cell morphology","""aberrant cell morphology""","43","1","2.33","0.252777969184136","1","8620736"
"aberrant cell motility","aberrant cell motility","""aberrant cell motility""","8","0","0","1","1",""
"aberrant cell-cell adhesion","aberrant cell-cell adhesion","""aberrant cell-cell adhesion""","5","0","0","1","1",""
"aberrant cellular component organization","aberrant cellular component organization","""aberrant cellular component organization""","2","0","0","1","1",""
"aberrant cellular localization","aberrant cellular localization","""aberrant cellular localization""","0","0","NaN","1","1",""
"aberrant cellular response to extracellular stimulus","aberrant cellular response to extracellular stimulus","""aberrant cellular response to extracellular stimulus""","8","0","0","1","1",""
"aberrant cellular response to fluid shear stress","aberrant cellular response to fluid shear stress","""aberrant cellular response to fluid shear stress""","5","0","0","1","1",""
"aberrant cellular response to nitrogen starvation","aberrant cellular response to nitrogen starvation","""aberrant cellular response to nitrogen starvation""","5","0","0","1","1",""
"aberrant cellular response to starvation","aberrant cellular response to starvation","""aberrant cellular response to starvation""","0","0","NaN","1","1",""
"aberrant centromere complex assembly","aberrant centromere complex assembly","""aberrant centromere complex assembly""","2","0","0","1","1",""
"aberrant centrosome localization","aberrant centrosome localization","""aberrant centrosome localization""","3","0","0","1","1",""
"aberrant centrosome organization","aberrant centrosome organization","""aberrant centrosome organization""","5","0","0","1","1",""
