row_IDs,X,b_0,b_1,b_2,b_3,d_0,d_1,d_2,d_3,AveExpr,F,P.Value,adj.P.Val,Regulation
DDB_G0279153,DDB_G0279153,7.67E-06,1.42E-05,7.76E-06,6.02E-06,-3.41E-06,-3.38E-06,7.74E-06,-6.97E-07,1.10E-05,0.072732565,0.989850926,0.996602385,Upregulated
DDB_G0273961,DDB_G0273961,6.75E-06,1.33E-05,1.07E-05,-1.71E-06,5.80E-07,-4.41E-06,-3.81E-06,-1.48E-07,1.19E-05,0.072468386,0.989920557,0.996602385,Upregulated
DDB_G0287871,DDB_G0287871,9.03E-06,7.17E-06,9.21E-06,-1.48E-06,-1.28E-06,-8.67E-07,1.77E-06,4.94E-06,1.15E-05,0.071861289,0.99007977,0.996626562,Upregulated
DDB_G0273221,DDB_G0273221,0.000156022,4.17E-06,0.000144481,-3.61E-05,-2.61E-06,6.59E-05,-4.05E-05,-1.48E-06,0.021461324,0.07148586,0.990177665,0.996626562,Downregulated
DDB_G0288407,DDB_G0288407,7.23E-06,8.72E-06,1.48E-05,-1.55E-06,-1.77E-06,3.06E-06,2.11E-06,6.32E-06,1.21E-05,0.071751179,0.990108526,0.996626562,Downregulated
DDB_G0292060,DDB_G0292060,8.43E-06,1.10E-06,1.05E-05,-2.38E-06,-1.93E-06,4.40E-06,1.95E-06,4.41E-06,1.52E-05,0.070830508,0.990347521,0.996699152,Upregulated
DDB_G0290259,DDB_G0290259,8.59E-06,6.21E-06,6.34E-06,-4.89E-07,-1.73E-06,1.58E-06,3.22E-06,4.89E-06,0.00109953,0.070606835,0.990405192,0.996699152,Upregulated
DDB_G0280409,DDB_G0280409,7.24E-06,3.52E-06,1.28E-05,7.53E-07,-1.34E-06,-1.69E-06,-3.55E-08,2.23E-06,1.67E-05,0.069115475,0.990785792,0.996847545,Downregulated
DDB_G0268752,DDB_G0268752,6.26E-06,1.13E-05,1.33E-05,-7.95E-07,-1.73E-06,-3.45E-06,1.63E-06,6.97E-07,1.15E-05,0.069495694,0.990689409,0.996847545,Upregulated
DDB_G0273553,DDB_G0273553,8.23E-06,4.90E-06,8.51E-06,1.21E-06,-1.92E-06,6.69E-06,8.06E-07,1.77E-06,1.14E-05,0.069274388,0.990745563,0.996847545,Downregulated
DDB_G0290713,DDB_G0290713,7.19E-06,1.23E-05,3.07E-05,-5.62E-06,-2.86E-06,-5.91E-06,1.92E-06,-3.85E-06,1.15E-05,0.068564219,0.990924739,0.996909147,Downregulated
DDB_G0273657,DDB_G0273657,6.89E-06,4.68E-06,1.03E-05,8.98E-07,1.20E-06,6.21E-06,-4.27E-06,2.39E-06,1.19E-05,0.067780595,0.991120634,0.996949841,Upregulated
DDB_G0274003,DDB_G0274003,5.26E-05,5.70E-05,-4.16E-05,9.56E-06,5.05E-06,-2.21E-05,-2.42E-05,1.73E-05,1.22E-05,0.068004241,0.99106492,0.996949841,Upregulated
DDB_G0292452,DDB_G0292452,6.74E-06,2.88E-05,2.21E-05,7.07E-06,3.92E-07,-8.65E-06,6.01E-06,-3.21E-06,1.15E-05,0.067451889,0.991202239,0.996953746,Downregulated
